id,stc,estc,title,author,publisher,pubplace,keywords,date
B06486,W1041B,R231789,"The water of talk [sic], with divers effences and rarities.",Anonymous,s n,London,Advertising --  Medicine --  17th century. -- Patent medicines --  England --  17th century. -- Broadsides --  England --  17th century.,1670
B06160,T1783,None,"Tom Farthing: or The married vvomans complaint. To a new tune, well known by the same name.",Anonymous,Printed for P Prooksby sic at the Golden ball near the Hospital gate in West smithfield,London,"Ballads, English --  17th century.",1675
B05968,S5497,None,"The great assize; or, Christ's certain and sudden appearance to judgement. Being serious considerations on these four things, death, judgment, heaven, and hell. By Mr. Stevens, minister. To the tune of, Aim not too high, &c. Licensed according to order.","Stevens, Minister.",Printed for P Brooksby at the Golden Ball in Pye corner near West Smithfield,London,"Ballads, English --  17th century.",1680
B05868,S3721A,R184238,"Advertisement Whereas his sacred Majesty, by his patent, hath constituted Sir Robert Sibbald, one of his physicians in ordinary, his geographer for his kingdom of Scotland, and commandeth and ordaineth him to publish the description of the Scotia antiqua & Scotia moderna, and the natural history of the products of his ancient kingdom of Scotland...","Sibbald, Robert, Sir, 1641-1722.",Printed by John Reid at his Printing House in Bells Wynd,Edinburgh,Scotland --  Historical geography --  Early works to 1800. -- Broadsides --  Scotland --  17th century.,1682
B02281,C539,None,"The carefull wife's good counsel: or, The husband's firm resolution to reform his life, and to lay something against a rainy day. To the tune of The spinning-wheel. Licensed according to order.",Anonymous,Printed for P Brooksby J Deacon J Blare J Back,London,"Ballads, English --  17th century.",1688-1692?
B02767,D2094A,R175976,"The downfall of William Grismond: or, A lamentable murder by him committed at Lainterdine in the county of Hereford, the 22 of March, 1650, with his woful [sic] lamentation. The tune is, Where is my love.",Anonymous,Printed for F Coles T Vere and W sic Gilberston,S l,"Grismond, William --  Early works to 1800. -- Ballads, English --  17th century. -- Broadsides --  England --  17th century.",1658-1664?
B04237,L3293B,None,"The loving lad, and the coy lasse. Or, A new dialogue between two young lovers. The youth did love the girle entirely well, but she (because her beauty did excell,) seem'd nice and coy, as virgins use to bee, and yet at last they both did well agree: the match was finisht but on such condition, that she might fully know his disposition therefore she did injoyne him not to marry, but for her sake, full seven years space to tarry: and then she is resolve'd (to end all strife,) she'l be his faithful, constant, loving wife. To the tune of, My father gave mee house and land, or, the young mans joy and the maidens happinesse.",Anonymous,printed for F Coles M Wright T Vere W Gilbertson,London,No Keywords,1658
B02972,E1244C,R175069,At the Committee of Lords and Commons for reformation of the University of Oxford,England and Wales. Parliament.,s n,London,University of Oxford --  Finance --  Law and legislation --  17th century. -- Broadsides --  England --  17th century.,1648
B04180,L3058,None,"Lord Willoughby: being a true relation of a famous and bloody battel fought in Flanders, by the noble and valiant Lord Willoughby, with 1500 English, against 40000 Spaniards, where the English obtain'd a notable victory, to the glory and renown of our nation. To the tune of, Lord Willoughby, &c.",Anonymous,Printed for A M W O and T Thackeray in Duck Lane,London,"Willoughby of Parham, Francis Willoughby, --  Baron, 1613?-1666 --  Poetry --  Early works to 1800. -- Ballads, English --  17th century.",1694
B05600,S1785,R183467,A proclamation for a publick general fast throrowout the realm of Scotland,"Scotland. Privy Council.; Gibson, Alexander, Sir, d. 1693.; Scotland. Sovereign (1649-1685 : Charles II)",Printed by the heir of Andrew Anderson Printer to his most sacred Majesty,Edinburgh,"Fasting --  Religious aspects --  Christianity --  Early works to 1800. -- Fasting --  Scotland --  Early works to 1800. -- Popish Plot, 1678 --  Early works to 1800. -- Broadsides --  Scotland --  17th century.",1678
