id,stc,estc,title,author,publisher,pubplace,keywords,date
A39039,E3849,R215581,"The execution and confessions of the seven prisoners executed at Tyburn on Friday the 19th of December, 1679 Viz. John Parker, for high-treason. Benjamin Penry, for robbery on the highway. John Dell, of Edger, for stealing a mare; but tryed for several murders, first of his wife's brother, then of her father, and lately of his said wife her self. Richard Dean, heretofore his servant, condemned with him for the same felony, but supposed to be equally guilty with him in all the said murders. William Atkins, Susan White, and Deborah Rogers, for several felonies, being all old offenders. With a particular account of the said John Dell's impenitent and refractory behaviour after sentence of death pass'd upon him, &c.",Anonymous,s n,London,Executions and executioners --  England --  Early works to 1800. -- Crime --  England --  Early works to 1800. -- Criminals --  England --  Early works to 1800.,1679
A39768,F1277A,R215628,"The true settlement of a Christians faith,bafter shaking assaults, by its own evidence; and by the internal sealing work of the spirit; pointed at, in some special inquiries thereon in a letter to a friend. With some serious reflections on the present times we are in, and those great vicissitudes of providence, wihch have been in the publick state of Britain in this last age, in a II. letter. By a minister of the Ghospel [sic].","Fleming, Robert, 1630-1694.; Fleming, Robert, 1630-1694.",s n,S l,Faith --  Early works to 1800.,1692
A32170,C2900,R35902,"Articles of peace and commerce between ... Prince Charles II ... and the Lords, the Bashaw, Dai, Aga, and governours of the famous city and kingdom of Algiers concluded by Sir Edw. Spragge, Knight, admiral of His Majesties fleet in the Mediterranean, Novemb. 29. old stile, 1671.","England and Wales.; England and Wales.; Spragge, Edward, Sir, d. 1673.; Algeria. Treaties, etc. England and Wales, 1671 Nov. 29.",Printed by the assigns of John Bill Christopher Barker,In the Savoy London,Great Britain --  Commerce --  Algeria. -- Algeria --  Commerce --  England.,1672
A34797,C6644,R31653,"The interpreter, or, Book containing the signification of words wherein is set forth the true meaning of all ... words and terms as are mentioned in the law-writers or statutes ... requiring any exposition or interpretation : a work not only profitable but necessary for such as desire thoroughly to be instructed in the knowledge of our laws, statutes, or other antiquities / collected by John Cowell ...","Cowell, John, 1554-1611.; Cowell, John, 1554-1611.",Printed by F Leach and are to be sold by Hen Twyford Tho Dring and Io Place,London,Law --  Dictionaries.,1658
A34271,C5814,R29678,"A Congratulation of the Protestant-joyner to Anthony, King of Poland upon his arrival in the lower world",Anonymous,Printed for N Thompson,London,"Shaftesbury, Anthony Ashley Cooper, --  Earl of, 1621-1683. -- Colledge, Stephen, 1635?-1681. -- Dissenters, Religious --  England --  Anecdotes",1683
A32934,C4015A,R40816,"Articles of visitation & enquiry concerning matters ecclesiastical, exhibited to the ministers, church-wardens and side-men, of the diocess of Bath and Wells, at the triennial visitation of the Right Reverend Father in God, Peter, Lord Bishop of the that diocess","Church of England. Diocese of Bath and Wells. Bishop (1672-1684 : Mews); Church of England. Diocese of Bath and Wells. Bishop (1672-1684 : Mews); Mews, Peter, 1619-1706.",s n,London,"Church of England --  Pastoral letters and charges. -- Visitations, Ecclesiastical --  England.",1679
A35117,C7196,R25362,"An apology for the Quakers wherein is shewed how they answer the chief principles of the law, and main ends of government : with several reasons why they deserve the liberty of their consciences in the worship of God : for all magistrates and rulers to consider of, lest they pervert justice and provoke the Lord to displeasure / by J. Crook.","Crook, John, 1617-1699.; Crook, John, 1617-1699.",s n,London,Society of Friends --  Apologetic works.,1662
A35646,C995,R3641,"The case of Sir John Lenthall Knight, Marshall of the Upper-Bench prison humbly presented to those in authority and to all rational and indifferent men.","Lenthall, John, Sir, 1625-1681.; Lenthall, John, Sir, 1625-1681.",s n,London,"Lenthall, John, --  Sir, 1625-1681. -- Prisons --  England --  London.",1653
A38195,E2503,R32900,"An account of some transactions in the honourable House of Commons, and before the right honourable Lords of the King's most honourable Privy Council, relating to the late East=India Company together with the said companies new charter.",England and Wales. Parliament.; England and Wales. Parliament.,s n,London,"East India Company. -- Great Britain --  History --  William and Mary, 1689-1702. -- Great Britain --  Commerce --  India. -- India --  Commerce --  Great Britain.",1693
A39044,E3852,R32015,"The Execution of James Halloway who was drawn, hang'd and quarter'd at Tyburn for high-reason, on Wednesday, the 30th of this instant April, 1685.",Anonymous,Printed by E Mallet,London,"Halloway, James. -- Charles --  II, --  King of England, 1630-1685. -- Regicides. -- Great Britain --  History --  Charles II, 1660-1685.",1684
